article_id,prod_name,product_type_name,product_group_name,colour_group_name,department_name,section_name,garment_group_name,detail_desc,image_url,combined_features
0300908010,Freja Coat,Jacket,Garment Upper body,Dark Red,Outdoor/Blazers DS,Divided Selected,Outdoor,"Double-breasted coat in soft fabric with wide shawl lapels and concealed press-studs down the front. One inner pocket, a tab at the back and an asymmetric hem. Lined.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/030/0300908010.jpg,"freja coat jacket garment upper body dark red outdoor/blazers ds divided selected outdoor double-breasted coat in soft fabric with wide shawl lapels and concealed press-studs down the front. one inner pocket, a tab at the back and an asymmetric hem. lined."
0517442001,Asmo Parka,Jacket,Garment Upper body,Greenish Khaki,Jacket Street,Mens Outerwear,Outdoor,"Parka in woven fabric with a sheen, a lined hood with a detachable faux fur trim, zip down the front and drawstring and wind flap with concealed press-studs down the front. Handwarmer pockets, flap front pockets with a concealed press-stud and concealed side pockets. Raglan sleeves with inner ribbing and a zipped sleeve pocket. Quilted lining. Polyester filling.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/051/0517442001.jpg,"asmo parka jacket garment upper body greenish khaki jacket street mens outerwear outdoor parka in woven fabric with a sheen, a lined hood with a detachable faux fur trim, zip down the front and drawstring and wind flap with concealed press-studs down the front. handwarmer pockets, flap front pockets with a concealed press-stud and concealed side pockets. raglan sleeves with inner ribbing and a zipped sleeve pocket. quilted lining. polyester filling."
0507181002,David bow sneaker,Sneakers,Shoes,Light Purple,Divided Shoes,Divided Accessories,Shoes,"Satin trainers with elastic gores in the sides and a decorative, sewn-on bow at the front. Canvas linings and insoles and rubber soles.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/050/0507181002.jpg,"david bow sneaker sneakers shoes light purple divided shoes divided accessories shoes satin trainers with elastic gores in the sides and a decorative, sewn-on bow at the front. canvas linings and insoles and rubber soles."
0483373007,Maria frill nursing top,T-shirt,Garment Upper body,Light Blue,Nursing,Mama,Jersey Fancy,"Short-sleeved nursing top in soft viscose jersey with a double-layered, wrapover front for easier nursing access.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/048/0483373007.jpg,"maria frill nursing top t-shirt garment upper body light blue nursing mama jersey fancy short-sleeved nursing top in soft viscose jersey with a double-layered, wrapover front for easier nursing access."
0482207007,Missy elliot long shirt,Blouse,Garment Upper body,Black,Woven top,H&M+,Blouses,"Tunic in soft fabric with a collar, buttons down the front, long sleeves with two buttons at the cuffs, and a rounded hem.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/048/0482207007.jpg,"missy elliot long shirt blouse garment upper body black woven top h&m+ blouses tunic in soft fabric with a collar, buttons down the front, long sleeves with two buttons at the cuffs, and a rounded hem."
0524825002,Latte slacks,Trousers,Garment Lower body,Dark Blue,Trouser,Womens Everyday Collection,Trousers,"Trousers in a stretch weave with a fly with a hook-and-eye fastener, a regular waist, side pockets and tapered legs.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/052/0524825002.jpg,"latte slacks trousers garment lower body dark blue trouser womens everyday collection trousers trousers in a stretch weave with a fly with a hook-and-eye fastener, a regular waist, side pockets and tapered legs."
0297796002,Spearmint shorts,Shorts,Garment Lower body,Black,Woven bottoms,H&M+,Trousers,5-pocket shorts in washed stretch twill with a regular waist and sewn-in turn-ups at the hems.,https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/029/0297796002.jpg,spearmint shorts shorts garment lower body black woven bottoms h&m+ trousers 5-pocket shorts in washed stretch twill with a regular waist and sewn-in turn-ups at the hems.
0509893016,Chuck Hood,Hoodie,Garment Upper body,Black,Men Sport Woven,Men H&M Sport,Jersey Fancy,"Sleeveless sports top in jersey with a mesh-lined hood with a drawstring and collar, and a rounded hem.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/050/0509893016.jpg,"chuck hood hoodie garment upper body black men sport woven men h&m sport jersey fancy sleeveless sports top in jersey with a mesh-lined hood with a drawstring and collar, and a rounded hem."
0392168020,Lily,Shorts,Garment Lower body,White,Shorts,Divided Collection,Shorts,Short shorts in stretch twill with a regular waist and sewn-in turn-ups at the hems.,https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/039/0392168020.jpg,lily shorts garment lower body white shorts divided collection shorts short shorts in stretch twill with a regular waist and sewn-in turn-ups at the hems.
0304786008,Traditional 2p Heavy Socks,Socks,Socks & Tights,Dark Grey,Shopbasket Socks,"Womens Nightwear, Socks & Tigh",Socks and Tights,"Socks in a soft, fine knit containing some wool and glittery threads.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/030/0304786008.jpg,"traditional 2p heavy socks socks socks & tights dark grey shopbasket socks womens nightwear, socks & tigh socks and tights socks in a soft, fine knit containing some wool and glittery threads."
0493814045,JACK fancy hood SB,Hoodie,Garment Upper body,Dark Beige,Kids Boy Jersey Basic,Boys Underwear & Basics,Jersey Basic,"Hooded jacket in sweatshirt fabric with a zip down the front, front pockets and ribbing at the cuffs and hem.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/049/0493814045.jpg,"jack fancy hood sb hoodie garment upper body dark beige kids boy jersey basic boys underwear & basics jersey basic hooded jacket in sweatshirt fabric with a zip down the front, front pockets and ribbing at the cuffs and hem."
0536314001,Milja trousers,Trousers,Garment Lower body,Black,Young Girl Trouser,Young Girl,Trousers,"Treggings in stretch twill with an elasticated waist, fake fly, fake front pockets, real back pockets, contrasting colour stripes down the sides and asymmetric raw-edge hems.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/053/0536314001.jpg,"milja trousers trousers garment lower body black young girl trouser young girl trousers treggings in stretch twill with an elasticated waist, fake fly, fake front pockets, real back pockets, contrasting colour stripes down the sides and asymmetric raw-edge hems."
0513699006,3 PK R-NECK SS BASIC,T-shirt,Garment Upper body,Black,Jersey Basic,Men Underwear,Jersey Basic,Round-necked T-shirts in organic cotton jersey.,https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/051/0513699006.jpg,3 pk r-neck ss basic t-shirt garment upper body black jersey basic men underwear jersey basic round-necked t-shirts in organic cotton jersey.
0516000072,Agnes LS R-neck,T-shirt,Garment Upper body,Black,Jersey,Womens Tailoring,Jersey Fancy,Fitted top in stretch jersey with a round neck and long sleeves.,https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/051/0516000072.jpg,agnes ls r-neck t-shirt garment upper body black jersey womens tailoring jersey fancy fitted top in stretch jersey with a round neck and long sleeves.
